2020-04-15 22:33:05,576 - INFO - ####################################
2020-04-15 22:33:05,576 - INFO - ############Loading Model###########
2020-04-15 22:33:05,576 - INFO - ####################################
2020-04-16 15:40:09,665 - INFO - Env 21, Goal (001.5, -05.5), Episode 00002, setp 099, Reward -50.7, Crashed,
2020-04-16 15:40:09,672 - INFO - Env 22, Goal (003.5, -05.5), Episode 00002, setp 050, Reward -42.1, Crashed,
2020-04-16 15:40:18,783 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00003, setp 166, Reward -22.0, Crashed,
2020-04-16 15:40:18,783 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:18,783 - INFO - Env 16, Goal (005.5, -02.5), Episode 00003, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:18,792 - INFO - Env 15, Goal (003.5, -02.5), Episode 00003, setp 038, Reward -25.2, Crashed,
2020-04-16 15:40:19,400 - INFO - Env 09, Goal (005.0, 003.0), Episode 00004, setp 030, Reward -43.0, Crashed,
2020-04-16 15:40:19,401 - INFO - Env 07, Goal (000.0, 003.0), Episode 00004, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:19,401 - INFO - Env 08, Goal (003.0, 003.0), Episode 00004, setp 080, Reward -37.7, Crashed,
2020-04-16 15:40:19,401 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00004, setp 044, Reward -42.7, Crashed,
2020-04-16 15:40:26,455 - INFO - Env 11, Goal (012.0, 010.0), Episode 00004, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:26,456 - INFO - Env 10, Goal (010.0, 010.0), Episode 00004, setp 042, Reward -23.3, Crashed,
2020-04-16 15:40:26,456 - INFO - Env 12, Goal (014.0, 010.0), Episode 00004, setp 107, Reward 13.7 , Reach Goal,
2020-04-16 15:40:26,460 - INFO - Env 13, Goal (016.0, 010.0), Episode 00004, setp 038, Reward -23.3, Crashed,
2020-04-16 15:40:26,464 - INFO - Env 14, Goal (018.0, 010.0), Episode 00004, setp 052, Reward -25.5, Crashed,
2020-04-16 15:40:26,896 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:26,896 - INFO - Env 21, Goal (001.5, -05.5), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:26,896 - INFO - Env 23, Goal (005.5, -05.5), Episode 00003, setp 090, Reward -41.4, Crashed,
2020-04-16 15:40:26,896 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:26,898 - INFO - Env 22, Goal (003.5, -05.5), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:35,653 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00004, setp 047, Reward -26.7, Crashed,
2020-04-16 15:40:35,653 - INFO - Env 16, Goal (005.5, -02.5), Episode 00004, setp 044, Reward -26.3, Crashed,
2020-04-16 15:40:35,654 - INFO - Env 15, Goal (003.5, -02.5), Episode 00004, setp 031, Reward -27.6, Crashed,
2020-04-16 15:40:35,654 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00004, setp 095, Reward -22.4, Crashed,
2020-04-16 15:40:37,220 - INFO - Env 08, Goal (003.0, 003.0), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:37,220 - INFO - Env 07, Goal (000.0, 003.0), Episode 00005, setp 105, Reward -40.7, Crashed,
2020-04-16 15:40:37,220 - INFO - Env 09, Goal (005.0, 003.0), Episode 00005, setp 060, Reward -42.7, Crashed,
2020-04-16 15:40:37,220 - INFO - Env 33, Goal (-16.9, -06.5), Episode 00001, setp 173, Reward -48.7, Crashed,
2020-04-16 15:40:37,221 - INFO - Env 28, Goal (-07.2, -13.5), Episode 00001, setp 201, Reward -25.2, Time out,
2020-04-16 15:40:37,221 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00005, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:37,221 - INFO - Env 30, Goal (-07.2, -06.5), Episode 00001, setp 064, Reward -43.2, Crashed,
2020-04-16 15:40:37,221 - INFO - Env 27, Goal (-10.2, -15.7), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-04-16 15:40:37,221 - INFO - Env 24, Goal (-18.0, -10.0), Episode 00001, setp 201, Reward -29.5, Time out,
2020-04-16 15:40:37,221 - INFO - Env 29, Goal (-06.0, -10.0), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-04-16 15:40:37,221 - INFO - Env 32, Goal (-13.8, -04.3), Episode 00001, setp 201, Reward -27.9, Time out,
2020-04-16 15:40:37,222 - INFO - Env 25, Goal (-16.9, -13.5), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-04-16 15:40:37,224 - INFO - Env 26, Goal (-13.8, -15.7), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-04-16 15:40:37,225 - INFO - Env 31, Goal (-10.2, -04.3), Episode 00001, setp 001, Reward -45.0, Crashed,
2020-04-16 15:40:37,420 - INFO - Env 37, Goal (015.8, -04.3), Episode 00002, setp 076, Reward -55.3, Crashed,
2020-04-16 15:40:37,420 - INFO - Env 35, Goal (014.9, -16.6), Episode 00002, setp 114, Reward -57.0, Crashed,
2020-04-16 15:40:37,420 - INFO - Env 40, Goal (017.8, -04.4), Episode 00002, setp 031, Reward -56.0, Crashed,
2020-04-16 15:40:37,420 - INFO - Env 43, Goal (013.8, -02.0), Episode 00002, setp 016, Reward -59.2, Crashed,
2020-04-16 15:40:37,420 - INFO - Env 36, Goal (012.1, -15.0), Episode 00002, setp 140, Reward -47.9, Crashed,
2020-04-16 15:40:37,421 - INFO - Env 34, Goal (015.5, -04.7), Episode 00002, setp 201, Reward -9.5 , Time out,
2020-04-16 15:40:37,423 - INFO - Env 39, Goal (014.9, -17.5), Episode 00002, setp 037, Reward -60.2, Crashed,
2020-04-16 15:40:37,423 - INFO - Env 38, Goal (017.8, -17.1), Episode 00002, setp 108, Reward -22.1, Crashed,
2020-04-16 15:40:37,423 - INFO - Env 41, Goal (017.6, -18.3), Episode 00002, setp 001, Reward -53.9, Crashed,
2020-04-16 15:40:37,426 - INFO - Env 42, Goal (019.0, -17.6), Episode 00002, setp 001, Reward -52.1, Crashed,
2020-04-16 15:40:37,780 - INFO - Env 10, Goal (010.0, 010.0), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:37,781 - INFO - Env 14, Goal (018.0, 010.0), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:37,782 - INFO - Env 13, Goal (016.0, 010.0), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:37,783 - INFO - Env 12, Goal (014.0, 010.0), Episode 00005, setp 064, Reward -21.3, Crashed,
2020-04-16 15:40:37,790 - INFO - Env 11, Goal (012.0, 010.0), Episode 00005, setp 054, Reward -23.1, Crashed,
2020-04-16 15:40:41,896 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00002, setp 066, Reward -37.8, Crashed,
2020-04-16 15:40:41,896 - INFO - Env 01, Goal (-18.0, 009.5), Episode 00002, setp 001, Reward -42.5, Crashed,
2020-04-16 15:40:41,897 - INFO - Env 05, Goal (-12.5, 017.0), Episode 00002, setp 044, Reward -42.7, Crashed,
2020-04-16 15:40:41,897 - INFO - Env 04, Goal (-12.5, 004.0), Episode 00002, setp 201, Reward -18.6, Time out,
2020-04-16 15:40:41,899 - INFO - Env 03, Goal (-07.0, 009.5), Episode 00002, setp 201, Reward -25.3, Time out,
2020-04-16 15:40:41,896 - INFO - Env 02, Goal (-07.0, 011.5), Episode 00002, setp 028, Reward -39.8, Crashed,
2020-04-16 15:40:42,826 - INFO - Env 16, Goal (005.5, -02.5), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:42,826 - INFO - Env 15, Goal (003.5, -02.5), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:42,826 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00005, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:42,827 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00005, setp 041, Reward -25.4, Crashed,
2020-04-16 15:40:46,851 - INFO - Env 11, Goal (012.0, 010.0), Episode 00006, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:46,851 - INFO - Env 13, Goal (016.0, 010.0), Episode 00006, setp 050, Reward -23.2, Crashed,
2020-04-16 15:40:46,851 - INFO - Env 12, Goal (014.0, 010.0), Episode 00006, setp 042, Reward -23.2, Crashed,
2020-04-16 15:40:46,852 - INFO - Env 14, Goal (018.0, 010.0), Episode 00006, setp 038, Reward -23.5, Crashed,
2020-04-16 15:40:46,852 - INFO - Env 10, Goal (010.0, 010.0), Episode 00006, setp 053, Reward -24.0, Crashed,
2020-04-16 15:40:53,712 - INFO - Env 01, Goal (-18.0, 009.5), Episode 00003, setp 046, Reward -38.2, Crashed,
2020-04-16 15:40:53,712 - INFO - Env 04, Goal (-12.5, 004.0), Episode 00003, setp 036, Reward -43.4, Crashed,
2020-04-16 15:40:53,712 - INFO - Env 05, Goal (-12.5, 017.0), Episode 00003, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:53,712 - INFO - Env 03, Goal (-07.0, 009.5), Episode 00003, setp 084, Reward -30.4, Crashed,
2020-04-16 15:40:53,712 - INFO - Env 02, Goal (-07.0, 011.5), Episode 00003, setp 023, Reward -38.9, Crashed,
2020-04-16 15:40:56,344 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00003, setp 087, Reward -29.2, Crashed,
2020-04-16 15:40:57,788 - INFO - Env 08, Goal (003.0, 003.0), Episode 00006, setp 043, Reward -43.0, Crashed,
2020-04-16 15:40:57,788 - INFO - Env 09, Goal (005.0, 003.0), Episode 00006, setp 001, Reward -47.5, Crashed,
2020-04-16 15:40:57,788 - INFO - Env 06, Goal (-02.0, 003.0), Episode 00006, setp 042, Reward -42.8, Crashed,
2020-04-16 15:40:57,791 - INFO - Env 07, Goal (000.0, 003.0), Episode 00006, setp 111, Reward -34.4, Crashed,
2020-04-16 15:40:59,334 - INFO - Env 12, Goal (014.0, 010.0), Episode 00007, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:59,335 - INFO - Env 11, Goal (012.0, 010.0), Episode 00007, setp 057, Reward -23.2, Crashed,
2020-04-16 15:40:59,335 - INFO - Env 13, Goal (016.0, 010.0), Episode 00007, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:59,336 - INFO - Env 14, Goal (018.0, 010.0), Episode 00007, setp 001, Reward -30.0, Crashed,
2020-04-16 15:40:59,336 - INFO - Env 10, Goal (010.0, 010.0), Episode 00007, setp 061, Reward -23.5, Crashed,
2020-04-16 15:41:01,276 - INFO - Env 18, Goal (-00.5, -02.5), Episode 00006, setp 053, Reward -25.6, Crashed,
2020-04-16 15:41:01,276 - INFO - Env 16, Goal (005.5, -02.5), Episode 00006, setp 037, Reward -25.1, Crashed,
2020-04-16 15:41:01,278 - INFO - Env 15, Goal (003.5, -02.5), Episode 00006, setp 036, Reward -26.7, Crashed,
2020-04-16 15:41:01,278 - INFO - Env 17, Goal (-02.5, -02.5), Episode 00006, setp 102, Reward 13.6 , Reach Goal,
2020-04-16 15:41:02,677 - INFO - Env 19, Goal (-02.5, -05.5), Episode 00004, setp 051, Reward -43.6, Crashed,
2020-04-16 15:41:02,678 - INFO - Env 22, Goal (003.5, -05.5), Episode 00004, setp 201, Reward -22.9, Time out,
2020-04-16 15:41:02,677 - INFO - Env 20, Goal (-00.5, -05.5), Episode 00004, setp 096, Reward -50.0, Crashed,
2020-04-16 15:41:02,678 - INFO - Env 23, Goal (005.5, -05.5), Episode 00004, setp 001, Reward -47.5, Crashed,
2020-04-16 15:41:02,678 - INFO - Env 21, Goal (001.5, -05.5), Episode 00004, setp 095, Reward -45.0, Crashed,
2020-04-16 15:41:03,376 - INFO - Env 40, Goal (016.4, -03.5), Episode 00003, setp 142, Reward -55.6, Crashed,
2020-04-16 15:41:03,376 - INFO - Env 36, Goal (014.6, -03.0), Episode 00003, setp 002, Reward -53.3, Crashed,
2020-04-16 15:41:03,377 - INFO - Env 41, Goal (016.8, -03.2), Episode 00003, setp 114, Reward -58.6, Crashed,
2020-04-16 15:41:03,377 - INFO - Env 42, Goal (012.9, -03.6), Episode 00003, setp 089, Reward -56.3, Crashed,
2020-04-16 15:41:03,377 - INFO - Env 37, Goal (017.0, -17.1), Episode 00003, setp 001, Reward -54.3, Crashed,
2020-04-16 15:41:03,377 - INFO - Env 39, Goal (013.0, -04.7), Episode 00003, setp 001, Reward -51.2, Crashed,
2020-04-16 15:41:03,377 - INFO - Env 34, Goal (015.4, -16.3), Episode 00003, setp 052, Reward -57.6, Crashed,
2020-04-16 15:41:03,377 - INFO - Env 43, Goal (018.3, -15.0), Episode 00003, setp 118, Reward -43.2, Crashed,
2020-04-16 15:41:03,379 - INFO - Env 35, Goal (018.8, -14.5), Episode 00003, setp 024, Reward -36.0, Crashed,
2020-04-16 15:41:03,383 - INFO - Env 38, Goal (017.7, -18.1), Episode 00003, setp 001, Reward -55.3, Crashed,
2020-04-16 15:41:04,858 - INFO - Env 07, Goal (000.0, 003.0), Episode 00007, setp 001, Reward -47.5, Crashed,
2020-04-16 15:41:04,858 - INFO - Env 08, Goal (003.0, 003.0), Episode 00007, setp 001, Reward -47.5, Crashed,
