2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:09:32,428 - INFO - ############Loading Model###########
2020-04-22 13:09:32,428 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:10:51,383 - INFO - ############Loading Model###########
2020-04-22 13:10:51,383 - INFO - ####################################
2020-04-22 13:11:04,074 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00128, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,075 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00129, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,075 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00130, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,076 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00131, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,076 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00132, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,076 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00133, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,077 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00134, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,077 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00135, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,078 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00136, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,078 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00137, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,079 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00138, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,079 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00139, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,080 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00140, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,080 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00141, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,081 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00142, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,081 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00143, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,082 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00144, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,082 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00145, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,083 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00146, setp 000, Reward 0.0  , 1,
2020-04-22 13:11:04,083 - INFO - Env 00, Goal (-18.0, 011.5), Episode 00147, setp 000, Reward 0.0  , 1,
